entropy,true_label,prediction
0.2248115986585617,0.0,1
0.4750358462333679,0.0,1
0.15163332223892212,0.0,1
0.5054893493652344,0.0,1
0.8159920573234558,0.0,1
0.393507719039917,0.0,1
0.327915757894516,0.0,1
0.7253161668777466,0.0,1
0.23212185502052307,0.0,1
0.22344839572906494,0.0,1
0.9646016955375671,0.0,0
0.03924153372645378,0.0,1
0.45742568373680115,0.0,1
0.8396884202957153,0.0,1
0.1056629866361618,0.0,1
0.30912548303604126,0.0,1
1.6900246143341064,0.0,0
0.41527658700942993,0.0,1
0.4697275757789612,0.0,1
0.03255441039800644,0.0,1
0.8027845621109009,0.0,1
0.2680845856666565,0.0,1
0.1633072793483734,0.0,1
0.32722097635269165,0.0,1
0.2817590832710266,0.0,1
0.04780612140893936,0.0,1
1.1317274570465088,0.0,0
1.0906391143798828,0.0,0
0.3484206795692444,0.0,1
0.06470116972923279,0.0,1
0.0766855925321579,0.0,1
0.30491775274276733,0.0,1
0.3729356527328491,0.0,1
0.4905768036842346,0.0,1
1.0226763486862183,0.0,0
0.2671586871147156,0.0,1
0.6266738176345825,0.0,1
0.14533299207687378,0.0,1
0.5703731179237366,0.0,1
0.0785297304391861,0.0,1
0.16714878380298615,0.0,1
0.4465438425540924,0.0,1
0.02174338512122631,0.0,1
0.4670698642730713,0.0,1
0.5695604085922241,0.0,1
1.0156338214874268,0.0,0
1.2318912744522095,0.0,0
0.09957818686962128,0.0,1
0.8438806533813477,0.0,1
0.4346422255039215,0.0,1
1.8828918933868408,0.0,0
1.4209314584732056,0.0,0
0.6478327512741089,0.0,1
0.08135773241519928,0.0,1
1.462444543838501,0.0,0
0.11896128952503204,0.0,1
0.6573547124862671,0.0,1
0.20142999291419983,0.0,1
0.1399177461862564,0.0,1
1.6873146295547485,0.0,0
0.1430968940258026,0.0,1
0.3522845208644867,0.0,1
0.2898803949356079,0.0,1
0.38902032375335693,0.0,1
0.7676423788070679,0.0,1
0.19617703557014465,0.0,1
0.22199074923992157,0.0,1
0.16888052225112915,0.0,1
0.3697226941585541,0.0,1
1.365440011024475,0.0,0
0.19833312928676605,0.0,1
0.6635589599609375,0.0,1
0.16803677380084991,0.0,1
0.5448734760284424,0.0,1
0.42754706740379333,0.0,1
0.07787695527076721,0.0,1
0.12274203449487686,0.0,1
0.2843841016292572,0.0,1
0.14766359329223633,0.0,1
0.10929330438375473,0.0,1
0.7896865606307983,0.0,1
0.2739694118499756,0.0,1
0.4453502297401428,0.0,1
0.1319803148508072,0.0,1
0.3511914610862732,0.0,1
0.2832810580730438,0.0,1
0.07997468113899231,0.0,1
0.7170253396034241,0.0,1
0.06094047427177429,0.0,1
0.9873725175857544,0.0,0
0.031802814453840256,0.0,1
0.4460933804512024,0.0,1
0.8755636215209961,0.0,0
0.7759873270988464,0.0,1
0.3581557869911194,0.0,1
0.16605225205421448,0.0,1
1.2530208826065063,0.0,0
0.653632640838623,0.0,1
0.28659409284591675,0.0,1
0.37494176626205444,0.0,1
0.2567273676395416,0.0,1
1.1620662212371826,0.0,0
0.23032955825328827,0.0,1
0.431469202041626,0.0,1
0.7720719575881958,0.0,1
0.1053786501288414,0.0,1
