Entropy,Prediction,GroundTruth
0.6053544878959656,0,0
0.7973414063453674,0,0
0.7839457988739014,0,0
0.679956316947937,0,0
0.7399453520774841,0,0
0.821600079536438,0,0
0.7979985475540161,0,0
0.7952932715415955,0,0
0.7453930377960205,0,0
0.8761497735977173,0,0
0.6761769652366638,0,0
0.7454415559768677,0,0
0.7989833354949951,0,0
0.7271500825881958,0,0
0.7764701247215271,0,0
0.651481032371521,0,0
0.7705491185188293,0,0
0.7314662933349609,0,0
0.8547559976577759,0,0
0.6822352409362793,0,0
0.8965802192687988,0,0
0.7606135606765747,0,0
0.6338895559310913,0,0
0.647424578666687,0,0
0.7513226866722107,0,0
0.8165081143379211,0,0
0.39744946360588074,1,0
0.8483003973960876,0,0
0.769120991230011,0,0
0.7469059228897095,0,0
0.848413348197937,0,0
0.7628942131996155,0,0
0.5742307305335999,0,0
0.8854762315750122,0,0
0.4734346866607666,1,0
0.8841339349746704,0,0
0.8377104997634888,0,0
0.7562522292137146,0,0
0.7789193987846375,0,0
0.7337132692337036,0,0
0.8003692626953125,0,0
0.7582505941390991,0,0
0.5404149293899536,0,0
0.7620216608047485,0,0
0.721413254737854,0,0
0.8101027011871338,0,0
0.4392282962799072,1,0
0.6277357935905457,0,0
0.7857780456542969,0,0
0.7676023840904236,0,0
0.7723664045333862,0,0
0.7755721211433411,0,0
0.6887609958648682,0,0
0.7249649167060852,0,0
0.7992247343063354,0,0
0.7836763858795166,0,0
0.7935382723808289,0,0
0.8692302107810974,0,0
0.8308767676353455,0,0
0.7625398635864258,0,0
0.7614281177520752,0,0
0.7730803489685059,0,0
0.8346835374832153,0,0
0.8850414156913757,0,0
0.6870684027671814,0,0
0.7829288244247437,0,0
0.7467803955078125,0,0
0.8295198082923889,0,0
0.9349035620689392,0,0
0.8735981583595276,0,0
0.7406744360923767,0,0
0.9098327159881592,0,0
0.7210469841957092,0,0
0.9040957689285278,0,0
1.2441058158874512,0,0
0.7121829986572266,0,0
0.7196442484855652,0,0
0.7945787310600281,0,0
0.7721179723739624,0,0
0.8926950097084045,0,0
0.7921833992004395,0,0
0.6405001878738403,0,0
0.8070292472839355,0,0
0.8844018578529358,0,0
0.6911817789077759,0,0
0.8268505334854126,0,0
0.8130582571029663,0,0
0.8021219968795776,0,0
0.8986603617668152,0,0
0.9399564862251282,0,0
0.8276371955871582,0,0
0.8188505172729492,0,0
0.8748819828033447,0,0
0.7179089784622192,0,0
0.676903486251831,0,0
0.7963789105415344,0,0
0.5095617175102234,0,0
0.5941102504730225,0,0
0.6872149109840393,0,0
0.7935394644737244,0,0
0.7860524654388428,0,0
0.7216699123382568,0,0
0.8219228982925415,0,0
0.6862742900848389,0,0
0.7979612350463867,0,0
0.7140988111495972,0,0
0.7966837882995605,0,0
0.7463911175727844,0,0
0.7605401277542114,0,0
0.8476132154464722,0,0
0.6410958170890808,0,0
0.7076871395111084,0,0
0.6218783259391785,0,0
0.8001681566238403,0,0
0.736459493637085,0,0
0.7349013090133667,0,0
0.5839464068412781,0,0
0.7060758471488953,0,0
0.7976953983306885,0,0
0.7351785898208618,0,0
0.6852941513061523,0,0
0.8784644603729248,0,0
0.7341253161430359,0,0
0.7973256707191467,0,0
0.8001062273979187,0,0
0.7762934565544128,0,0
0.8063985109329224,0,0
0.6662366390228271,0,0
0.7660797834396362,0,0
0.7224470376968384,0,0
0.8175888061523438,0,0
0.8089629411697388,0,0
0.705906867980957,0,0
0.928787112236023,0,0
0.7553430795669556,0,0
0.7235726714134216,0,0
0.7489603757858276,0,0
0.848509669303894,0,0
0.7445881366729736,0,0
0.7263720035552979,0,0
0.7300722599029541,0,0
0.6286485195159912,0,0
0.6999720335006714,0,0
0.9025755524635315,0,0
0.8295570015907288,0,0
0.7456819415092468,0,0
0.9805305004119873,0,0
0.939661979675293,0,0
0.8279361724853516,0,0
0.6125468611717224,0,0
0.7506631016731262,0,0
0.7102935910224915,0,0
0.556282103061676,0,0
0.751973032951355,0,0
0.714347243309021,0,0
0.7525481581687927,0,0
0.8437319397926331,0,0
0.6959190368652344,0,0
